,palabras,Personaje
0,photon direct plane slit either slit observ slit unobserv howev observ left plane hit target gone slit point think good idea shirt think place leonard think commit genet fraud guarante sperm go gener high offspr think sister basic hostess fuddruck know yearn faster download poor woman go hope sperm wind toddler know integr differenti solv area curv want leav protocol leav walk still sperm bank want hear interest thing stair height singl step littl millimetr peopl trip true seri experi twelv father broke clavicl result work laser evid hundr pound transvestit skin condit great go start season battlestar galactica commentari never invit loui slash louis wide circl friend myspac beauti chat chat least offlin leonard expert believ context luncheon invit might want skip refer bowel movement well today tri masturb money actual work yeah well quantum mechan littl string theori doodl around edg part joke spoof bourn oppenheim approxim yeah holi smoke mean deriv restat kind stuff find scribbl wall room sure come seen differenti broken heart invent point penni differ winter seat close enough radiat remain warm close caus perspir summer directli path cross breez creat open window face televis angl neither direct thu discourag convers wide creat parallax distort could think made point well fine wander circl look lost aaah true koothrapali wolowitz come time tuesday night play klingon boggl morn resent say compani antisoci implic tell particip mass cultur delus appar posit rel arbitrarili defin constel time birth somehow effect person interest leonard process corn lactos intoler mouth happen took four year high school make wors well interest develop time sinc woman take cloth apart point taken time sinc woman take cloth want eye exactli tri accomplish woman go good disappoint speci cours think possibl help hinder discov luke skywalk tear shampoo leonard ladi technic would coitu interruptu realli think examin chain causal event beauti woman stand nake shower event drive half across town retriev televis aforement woman boyfriend queri plane exist even semi ration link event well proxim caus journey know exist contradistinct higher level distal caus think peni right could stay behind watch wolowitz penni russian arab farsi neither break joyc defect north korea scene leonard even carri hello okay thank time leonard build deni access build ergo done apolog plan privileg watch mind work think combin good think muscl intercom tell leonard bought pant go call okay first pants last well pant think like go alon certainli go nobel prize valid hypothesi happen thank done mention imaginari thai food indian lunch curri base cuisin would gastronom redund go spell everyth girl know odd world whole popul goe verit mack daddi,Sheldon
1,agre point excus across aegean eight nabakov twenti across fourteen move finger phylum make fourteen across port princ papa capit idea port princ haiti high sperm bank thank right back kid semi sheldon idea littl extra money fraction bandwidth apart sure still love well want okay know never reneg proffer sperm okay receptionist realli care millimetr seem right sent board school neighbour signific improv neighbour mean interrupt live across hall live togeth live togeth separ heterosexu bedroom leonard sheldon well welcom build great great well invit lunch alreadi watch season dvd think good neighbour invit make feel welcom well wrong need widen circl never go invit nice meal chat well difficult listen say someth appropri respons anyway brought home indian food know move stress find undergo stress good food compani comfort effect also curri natur lax tell clean colon less thing worri great okay well make home welcom board like board board least invent twenti dimens make math come univers somewher els sheldon well nice compani rememb sorri said sorri yeah like regular boggl klingon probabl enough tell think sheldon tri sagittariu first guess sort okay love cheesecak think good idea base life well movi would well sound wonder mouth back know someth feel like someth crazi paradox paradox part natur think light look huygen light wave confirm doubl slit experi along come albert einstein discov light behav like particl well make wors shower work right hall true rememb thanksgiv grandmoth alzheim episod worst part watch carv turkey excus well tri make think male femal go engag hypothet tri good neighbour carnal relationship develop particip howev briefli darth vader shampoo knock door luke skywalk condition good time great guy good time ladi neighbour anticip coitu come show trick shower save blog howard goe stick sorri welcom go step right okay hair product sheldon favour sure favour would favour probabl must ask favour sheldon biolog imposs come come know break broke joyc mend broken heart situat much less complic kind disput penni boyfriend get custodi want avoid scene sheldon go scene push buzzer talk leonard sheldon pick penni go give like excus give first littl hitch never would abl identifi fingerprint string theori aftermath bang come combin abl figur stupid build grab door knock talk leonard sheldon scientist sorri sheldon sorri drag right motiv hope establish relationship penni might anyway learn lesson leagu done work nobel prize alon thank sheldon good friend home well boyfriend send regard think rest fairli self explanatori valid hypothesi realli great babi smart beauti thai food okay penni,Leonard
2,wait till stephen hawk lectur becam creepi comput voic yeah right grandmoth back town hang realli ladi want anticip coitu avail coitu enchant madamoisel howard wolowitz tech depart appli physic familiar work current orbit jupit largest moon take high resolut digit photograph douch french good shower sentiment express languag tong guay speak english speak women kind nerd juic favourit place kick back quest great hous yeah sinc level name button anyway game charact could hang mayb quest think turn left lake street head colorado know wonder littl sushi karaok sing babi babi hook babi babi hook,Howard
3,fantast unbeliev smooth,Raj
4,nice okay well guess neighbour penni thankyou mayb coffe sometim great invit nice love guy around okay thankyou look like seriou stuff leonard like beauti mind geniu guy realli impress holi smoke guy mind start next differ want move klingon boggl okay sagittariu probabl tell need know particip yeah peopl think water sign okay els vegetarian except fish occasion steak love steak yeah waitress cheesecak factori anyway also write screenplay sensit girl come lincoln nebraska actress wind waitress cheesecak factori omaha know right okay els stori penni fell love jerk know four year live four year like long high school believ trust want know pathet part even though hate lie cheat gut still love crazi sorri mess everyth els gross move stupid shower even work realli would total weird use thank guy realli sweet trick get switch shower sorri hello penni work cheesecak factori sorri okay thank leonard okay favour okay kind thing guy work leonard sheldon univers sorri speak english realli cool tiger sound interest think abl stop think happen sorri realli thought guy went instead realli thank much go tri terrif cloth purs dinner okay sure idea look worri express sound like,Penny
5,sinc season epinephrin need chopstick thai food thailand fork sinc latter half nineteenth centuri interestingli actual fork mouth food spoon goe mouth swell howard take person patholog talk women kid right realis scene rife scientif inaccuraci assum loi lane fall acceler initi rate feet second second superman swoop save reach arm steel miss lane travel approxim mile hour hit immedi slice three equal piec space space feet ground frankli realli love pavement would merci death listen well establish superman flight feat strength extens abil leap tall build abil deriv earth yellow combin moon solar reflect energi storag capac kryptonian skin cell challeng accept tri door lock hardli think well dolli lift belt measur upper bodi strength archimed would proud involv green lantern power ring exactli half formula corner graviti thou heartless bitch understand effort increas odd sexual congress woman yeah watch finger watch finger finger hurt look around great caesar ghost look place littl messi mandelbrot complex number littl messi chao excus explain organis system tray flatwar couch valid infer couch evid suggest coffe tabl tini garag sale excus think found help time hang straighten anyon home swirl vortex entropi immacul mean open closet left right even gown cocktail dress polic uniform help cabl webcam suck breath penni want know live like sssshhhh penni sleep choic sleep know outsid bedroom live room outsid live room hallway immedi adjac hallway gave reason explan ridicul peer might want speak lower regist evolut made women sensit high pitch nois sleep rous cri babi want avoid wake speak lower regist lower voic dramat ridicul leav done time lean time clean morn slept splendidli grant long deepli well sarcasm grant method somewhat unorthodox think result measur enhanc penni qualiti life think cross line sarcasm sign want cereal feel good today go choos fibr shelf hello honey puff left suggest organis schemat bedroom closet goodby honey puff hello bran realli organis actual dirti snore probabl sinu infect could sleep apnoea might want otolaryngologist throat doctor depend depth either proctologist gener surgeon leonard hold sign read sarcasm penni penni clarifi discuss leav object sole presenc apart sleep also object imposit organis paradigm penni stare disbelief leav well littl respons sarcasm wooh place morn knock penni door master truli sorri happen last night take full respons hope colour opinion leonard wonder also hear gentl thorough lover penni close door face could imaginari girlfriend broke check check consid great place look could stereo back infra repeat photocel emitt easi peasi hang penni fan water involv go ground crap thing right entir thing heat sink,Sheldon
6,thai peanut sure everyon keep howard case start swell napkin dare knock door penni go anywher close door stay hallway come home work great work sort carbohydr deliveri system gonna furnitur deliv yeah problem penni wait plan want join thai food superman movi marathon heldon howard togeth rais finger unless superman match speed deceler excus entir argument predic assumpt superman flight feat strength hundr comic book challeng find singl refer kryptonian skin cell okay apart fourth floor elev broken go deliveri leav go done okay cool thank guess bring need strength physicist intellectu descend archimed give fulcrum lever move earth matter start move packag idea easi easi packag fall okay inclin plane forc requir lift reduc sine angl stair call thirti degre half snarkili exactli half push okay move easi math okay okay yeah problem come help pull turn thing women without expect good neighbour case could lower odd almost almost almost let packag start slip okay penni littl messi ever occur everyon compuls need sort organis label entir world around well hard believ peopl sort breakfast cereal numer fibr content come sheldon home transvestit live care kept place closet penni arriv brought well hair joke yeah tell right sheldon sheldon hello sheldon insan break woman apart middl night clean realis penni wake reason explan gave explan reason determin juri peer sheldon ridicul penni snore likewis fine accept premis pleas collaps wall hell morn surpris well known folk cure insomnia break neighbour apart clean think know convinc mayb tonight sneak shampoo carpet sake sheldon hold sarcasm sign everi time open mouth sarcasm sign penni know go clean sorri discuss length last night okay look penni think feel perfectli valid mayb littl later today feel littl less lack better word violat mayb could talk sure anoth go march right apologis sheldon laugh funni fine still thing read note penni oppenheim came regret contribut first atom bomb regret particip least error judgement hallmark great human experi willing recognis mistak mistak madam curi discoveri radium turn great scientif potenti even though would later slow pain death radiat poison anoth exampl field ebola research yeah inch dowel packag phillip head screw pleas insist least consid ineffici design exampl penni flat screen mean space behind wast control also ineffici might loud realli show drip tray sluic overflow reservoir replac panel crossbar aircraft grade aluminium meet back hour leav,Leonard
7,peanut look puffi feel puffi look finger like vienna sausag speak phrase russian ever told beauti flawless russian use talk attract women case cheesecak scent goddess yeah problem night jump game grab napkin homi serv problem realli rajesh koothrapali spoke penni hug hug howard perfum smell across room afraid instruct pictograph represent least imagin assembl compon right sweden space program whisper good point gonna cool liquid coolant mayb littl aquarium pump quarter inch hold honey work come mayb littl corrug sheet metal radiat perfect leonard sheldon junk yard pick squar metr scrap aluminium acetalin torch done,Howard
8,chopstick also pretti girl left intern penni continu talk stand close smell good vanilla intern chatti mayb parent right mayb better indian girl cultur background wife would sing children lullabi mother sang intern sing indian lullabi intern ask question probabl intern turn pelvi enter hello sorri late hallway chat penni actual less chatter chatte well upset first probabl sister shot somebodi someth hug intox,Raj
9,leonard interrupt sound like compani well know cheesecak factori peopl order cheesecak bring yeah call whatev want minimum wage yeah anyway wonder could help someth okay great furnitur deliv tomorrow apart door open sheldon howard appear hello sorri yeah probabl sheldon look uncomfort still talk yeah yeah get tomorrow could sign apart great spare thank yeah marathon mani superman movi yeah like loi lane fall helicopt superman swoosh catch know go wash enter guy great hard get stair great thank throw jacket back sofa talk voic bitch voic sick geeki bastard voic leonard enter came apart last night sleep give back understand creepi apart sleep kind doctor remov shoe ass stay away open door stand look uncomfort listen know heard happen last night leonard sheldon realli upset mean place clean mean even believ weird know come someon come hous night shoot okay shoot wound mean alright sister shot husband accid drunk say obviou meant well realli rough time like said broke boyfriend freak mean known life happen jerk mean assum leonard sheldon right exactli thought thank listen doll hug go leonard hug okay kiss cheek close door leonard look happi walk back across hallway straight apart door guy serious grew farm okay rebuilt tractor engin like twelv think togeth cheap swedish media centr well look pretti good store guy guy actual realli simpl guy think take cloth okay place look pretti good,Penny
